Title ID,Description,Product Code,Company Code,Notes,Versions,Region,Available on CDN?,,
0005000010013000,Nintendo TVii,WUP-X-HBCJ,0001,,v0,JPN,No TMD,,
0005000010100600,鉄拳タッグトーナメント2 Wii U EDITION (TEKKEN TAG TOURNAMENT 2 Wii U EDITION),WUP-P-AKNJ,00AF,,v0,JPN,Yes,,
0005000010100D00,カラオケJOYSOUND for Wii U,WUP-N-WAHJ,0001,,"v0, v16, v32, v48, v49, v64, v80, v96, v112, v128",JPN,Yes,,
0005000010101800,SiNG PARTY,WUP-P-ASWE,0001,,v0,USA,Yes,,
0005000010101900,SiNG PARTY,WUP-P-ASWP,0001,,v0,EUR,Yes,,
0005000010101A00,LEGO® CITY UNDERCOVER,WUP-P-APLE,0001,,v0,USA,Yes,,
0005000010101B00,LEGO® CITY UNDERCOVER,WUP-P-APLP,0001,,v0,EUR,Yes,,
0005000010101C00,NewスーパーマリオブラザーズU (New SUPER MARIO BROS. U),WUP-P-ARPJ,0001,,"v0, v16",JPN,Yes,,
0005000010101D00,New SUPER MARIO BROS. U,WUP-P-ARPE,0001,,v0,USA,Yes,,
0005000010101E00,New SUPER MARIO BROS. U,WUP-P-ARPP,0001,,v0,EUR,Yes,,
0005000010101F00,Nintendo Land,WUP-P-ALCJ,0001,,"v1, v16",JPN,Yes,,
0005000010102000,Nintendo Land,WUP-P-ALCE,0001,,v0,USA,Yes,,
0005000010102100,Nintendo Land,WUP-P-ALCP,0001,,v0,EUR,Yes,,
0005000010102200,Wii Fit U,WUP-P-ASTJ,0001,,"v16, v32",JPN,Yes,,
0005000010102300,Wii Fit U,WUP-P-ASTE,0001,,v2,USA,Yes,,
0005000010102400,Wii Fit U,WUP-P-ASTP,0001,,v3,EUR,Yes,,
0005000010102500,Nintendo×JOYSOUND Wii カラオケ U,WUP-N-WAJJ,0001,,"v32, v49, v65, v80, v96, v112",JPN,Yes,,
0005000010102900,出前館 (Demaecan),WUP-N-WALJ,00SE,,"v0, v18, v32",JPN,Yes,,
0005000010102A00,YNN,WUP-N-HNMJ,00SF,,"v0, v19, v32, v48",JPN,Yes,,
0005000010102D00,Hulu,WUP-N-HNPE,00XB,,"v0, v16, v32, v48, v64, v80",USA,Yes,,
0005000010102E00,Amazon Instant Video,WUP-N-HNQE,00WD,,"v0, v16",USA,Yes,,
0005000010102F00,Amazon / LOVEFiLM,WUP-N-HNRP,00WD,,"v0, v16, v32",EUR,Yes,,
0005000010104C00,Hulu,WUP-N-HNPJ,00XB,,"v0, v16, v33, v48, v65, v80, v96",JPN,removed on 24th July 2020,,
0005000010104D00,モンスターハンター 3（トライ）G HD Ver. (MONSTER HUNTER 3(tri-)G HD Ver.),WUP-P-AHDJ,0008,,v0,JPN,Yes,,
0005000010105700,YouTube,WUP-N-HNKA,00WB,,"v0, v16, v64, v80, v96, v112, v129, v144, v160, v176, v193",ALL,Removed on 27th October 2022,,
0005000010105A00,Netflix,WUP-N-HNNA,00XN,,"v0, v16, v32, v48, v64, v81, v96, v144, v160, v176, v192",EUR/JAP/USA,Removed on 30th June 2021,,
0005000010106100,スーパーマリオ ３Ｄワールド (SUPER MARIO 3D WORLD),WUP-P-ARDJ,0001,,v1,JPN,Yes,,
0005000010106900,マリオ＆ソニック AT ソチオリンピック (Mario & Sonic at the Sochi 2014 Olympic Winter Games),WUP-P-AURJ,0001,,v0,JPN,Yes,,
0005000010106B00,Assassin's Creed® III,WUP-P-ASSE,0041,,v1,USA,Yes,,
0005000010106C00,スーパーマリオブラザーズ (Super Mario Bros.),WUP-N-FAAJ,0001,Virtual Console (Famicom),v1,JPN,Yes,,
0005000010106D00,Super Mario Bros.,WUP-N-FAAE,0001,Virtual Console (NES),v0,USA,Yes,,
0005000010106E00,Super Mario Bros.,WUP-N-FAAP,0001,Virtual Console (NES),v0,EUR,Yes,,
0005000010106F00,スーパーマリオブラザーズ３ (Super Mario Bros. 3),WUP-N-FABJ,0001,Virtual Console (Famicom),v0,JPN,Yes,,
0005000010107000,Super Mario Bros. 3,WUP-N-FABE,0001,Virtual Console (NES),v0,USA,Yes,,
0005000010107100,Super Mario Bros. 3,WUP-N-FABP,0001,Virtual Console (NES),v0,EUR,Yes,,
0005000010107200,アイスクライマー (Ice Climber),WUP-N-FACJ,0001,Virtual Console (Famicom),v0,JPN,Yes,,
0005000010107500,Ice Climber,WUP-N-FACE,0001,Virtual Console (NES),v0,USA,Yes,,
0005000010107600,Ice Climber,WUP-N-FACP,0001,Virtual Console (NES),v0,EUR,Yes,,
